PID,word_type,voice,hits,total,hit_rate,fa_rate,cms,wr_accuracy,ir_rt_mean,ir_rt_median,wr_rt_mean,wr_rt_median
263,LH,P,4,6,0.6666666666666666,0.11805555555555555,0.548611111111111,1.0,1488.0,1235.5,806.75,549.0
263,LL,A,4,6,0.6666666666666666,0.11805555555555555,0.548611111111111,0.5,1443.0,1488.0,1099.0,455.0
263,LL,P,6,6,1.0,0.11805555555555555,0.8819444444444444,0.5,1740.8333333333333,1597.0,406.8333333333333,234.0
264,HH,A,6,6,1.0,0.09722222222222222,0.9027777777777778,0.8333333333333334,1457.6666666666667,1364.5,870.0,653.0
264,HH,P,5,6,0.8333333333333334,0.09722222222222222,0.7361111111111112,1.0,1179.2,1086.0,868.8,693.0
264,HL,A,6,6,1.0,0.09722222222222222,0.9027777777777778,0.8333333333333334,1126.8333333333333,970.0,981.6666666666666,779.0
264,HL,P,6,6,1.0,0.09722222222222222,0.9027777777777778,0.8333333333333334,1298.6666666666667,1309.5,1035.6666666666667,879.5
264,LH,A,6,6,1.0,0.09722222222222222,0.9027777777777778,0.8333333333333334,1259.5,1224.5,1039.1666666666667,918.5
264,LH,P,6,6,1.0,0.09722222222222222,0.9027777777777778,1.0,1105.0,1063.5,1033.3333333333333,702.5
264,LL,A,5,6,0.8333333333333334,0.09722222222222222,0.7361111111111112,0.8,1203.4,1160.0,601.8,532.0
264,LL,P,5,6,0.8333333333333334,0.09722222222222222,0.7361111111111112,0.8,1075.2,1075.0,722.4,702.0
266,HH,A,5,6,0.8333333333333334,0.09027777777777778,0.7430555555555556,0.8,1134.2,963.0,693.4,339.0
266,HH,P,5,6,0.8333333333333334,0.09027777777777778,0.7430555555555556,0.4,1907.2,1649.0,1894.2,1137.0
266,HL,A,5,6,0.8333333333333334,0.09027777777777778,0.7430555555555556,0.8,2108.6,1752.0,469.8,481.0
266,HL,P,6,6,1.0,0.09027777777777778,0.9097222222222222,0.8333333333333334,1198.1666666666667,1181.0,1466.6666666666667,959.0
266,LH,A,4,6,0.6666666666666666,0.09027777777777778,0.5763888888888888,0.5,1089.75,1040.5,226.25,211.0
266,LH,P,6,6,1.0,0.09027777777777778,0.9097222222222222,0.8333333333333334,1285.0,1221.0,921.1666666666666,892.5
266,LL,A,5,6,0.8333333333333334,0.09027777777777778,0.7430555555555556,0.6,1428.0,1227.0,618.6,442.0
266,LL,P,6,6,1.0,0.09027777777777778,0.9097222222222222,0.8333333333333334,1507.0,1255.0,870.1666666666666,424.0
267,HH,A,6,6,1.0,0.1527777777777778,0.8472222222222222,0.5,1471.1666666666667,1499.0,1326.6666666666667,1204.5
267,HH,P,6,6,1.0,0.1527777777777778,0.8472222222222222,1.0,2034.6666666666667,2077.0,1020.1666666666666,499.5
267,HL,A,6,6,1.0,0.1527777777777778,0.8472222222222222,0.8333333333333334,1722.5,1662.0,1954.5,337.0
267,HL,P,5,6,0.8333333333333334,0.1527777777777778,0.6805555555555556,0.6,1449.4,1374.0,1179.6,201.0
267,LH,A,5,6,0.8333333333333334,0.1527777777777778,0.6805555555555556,0.8,1669.6,1631.0,570.4,348.0
267,LH,P,6,6,1.0,0.1527777777777778,0.8472222222222222,0.6666666666666666,1618.3333333333333,1414.5,213.66666666666666,172.5
267,LL,A,6,6,1.0,0.1527777777777778,0.8472222222222222,0.5,1890.0,1362.5,1206.6666666666667,280.5
267,LL,P,6,6,1.0,0.1527777777777778,0.8472222222222222,0.5,1667.0,1503.5,2022.8333333333333,2509.0
269,HH,A,6,6,1.0,0.034722222222222224,0.9652777777777778,0.8333333333333334,1215.3333333333333,1009.5,1512.8333333333333,825.0
269,HH,P,6,6,1.0,0.034722222222222224,0.9652777777777778,1.0,1367.1666666666667,1238.5,999.3333333333334,705.0
269,HL,A,4,6,0.6666666666666666,0.034722222222222224,0.6319444444444444,1.0,1367.0,1337.0,836.25,897.0
269,HL,P,6,6,1.0,0.034722222222222224,0.9652777777777778,0.8333333333333334,1339.1666666666667,1213.0,1305.5,785.0
269,LH,A,6,6,1.0,0.034722222222222224,0.9652777777777778,1.0,1236.6666666666667,965.0,856.5,556.5
269,LH,P,3,6,0.5,0.034722222222222224,0.4652777777777778,1.0,1353.3333333333333,1152.0,2297.0,1525.0
269,LL,A,4,6,0.6666666666666666,0.034722222222222224,0.6319444444444444,1.0,2369.5,2222.5,1643.5,1604.5
269,LL,P,6,6,1.0,0.034722222222222224,0.9652777777777778,0.6666666666666666,1258.3333333333333,1159.5,924.1666666666666,719.0
270,HH,A,1,6,0.16666666666666666,0.006944444444444444,0.1597222222222222,1.0,1874.0,1874.0,624.0,624.0
270,HH,P,4,6,0.6666666666666666,0.006944444444444444,0.6597222222222222,1.0,1657.25,1659.0,1717.25,1510.0
270,HL,A,5,6,0.8333333333333334,0.006944444444444444,0.826388888888889,0.8,2313.0,2655.0,1956.8,1002.0
